entrezID,acronym,isAstrocyteEnriched,isOligodendrocyteEnriched,isNeuronEnriched,isGoodGeneBrain,isPersistent
14261,Fmo1,1,0,0,1,1
14265,Fmr1,0,0,0,1,1
14268,Fn1,0,0,0,1,1
14281,Fos,1,0,0,1,1
14284,Fosl2,0,0,1,1,1
14296,Frat1,0,0,0,1,1
14314,Fstl1,1,0,0,1,1
14357,Dtx1,1,1,0,1,1
14360,Fyn,0,1,0,1,1
14362,Fzd1,1,0,0,1,1
14365,Fzd3,0,1,0,1,1
14366,Fzd4,1,0,0,1,1
14367,Fzd5,0,1,0,1,1
14368,Fzd6,0,0,0,1,1
14369,Fzd7,1,0,0,1,0
14370,Fzd8,1,0,0,1,1
14371,Fzd9,1,0,0,1,1
14390,Gabpa,1,0,0,1,1
14391,Gabpb1,0,0,0,1,1
14394,Gabra1,0,0,1,1,1
14395,Gabra2,1,0,0,1,1
14396,Gabra3,0,0,1,1,1
14397,Gabra4,1,0,0,1,1
14399,Gabra6,0,0,0,1,1
14400,Gabrb1,1,0,0,1,1
14401,Gabrb2,0,0,0,1,1
14402,Gabrb3,0,0,1,1,1
14403,Gabrd,0,0,1,1,1
14404,Gabre,0,0,0,1,1
14405,Gabrg1,1,0,0,1,1
14407,Gabrg3,0,0,0,1,1
14408,Gabrr1,0,0,0,1,1
14409,Gabrr2,0,0,0,1,1
14412,Slc6a13,0,0,0,1,1
14415,Gad1,0,0,1,1,1
14417,Gad2,0,0,1,1,1
14419,Gal,0,0,0,1,1
14427,Galr1,0,0,0,1,1
14428,Galr2,0,0,0,1,1
14432,Gap43,0,0,1,1,1
14451,Gas1,1,0,0,1,1
14461,Gata2,0,0,0,1,1
14465,Gata6,0,0,0,1,1
14472,Gbx2,0,0,0,1,1
14526,Gcg,0,0,0,1,1
14528,Gch1,0,0,0,1,1
14531,Gcm1,0,0,0,1,1
14536,Nr6a1,0,0,0,1,1
14544,Gda,0,0,1,1,1
14559,Gdf1,0,0,0,1,1
14560,Gdf10,1,0,0,1,1
14561,Gdf11,0,0,0,1,1
14562,Gdf3,0,0,0,1,1
14563,Gdf5,0,0,0,1,1
14566,Gdf9,0,0,0,1,1
14573,Gdnf,0,0,0,1,1
14580,Gfap,1,0,0,1,0
14585,Gfra1,0,1,0,1,1
14586,Gfra2,0,0,1,1,1
14587,Gfra3,0,0,0,1,0
14601,Ghrh,0,0,0,1,1
14605,Tsc22d3,1,0,0,1,1
14608,Gpr83,0,0,1,1,1
14609,Gja1,1,0,0,1,1
14617,Gjd2,0,0,0,1,1
14632,Gli1,0,0,0,1,1
14633,Gli2,1,0,0,1,1
14634,Gli3,1,0,0,1,0
14645,Glul,1,0,0,1,0
14652,Glp1r,0,0,0,1,1
14654,Glra1,0,0,0,1,1
14657,Glra4,0,0,0,1,1
14658,Glrb,0,0,0,1,1
14660,Gls,1,0,0,1,0
14696,Gnb4,0,1,0,1,0
14714,Gnrh1,0,0,0,1,1
14726,Pdpn,1,0,0,1,1
14734,Gpc3,0,0,0,1,1
14763,Gpr37,0,1,0,1,1
14766,Gpr56,1,0,0,1,0
14772,Grk4,0,0,0,1,1
14775,Gpx1,0,1,0,1,1
14778,Gpx3,0,0,0,1,1
14797,Aes,0,0,0,1,1
14799,Gria1,0,0,1,1,1
14800,Gria2,0,0,1,1,1
14802,Gria4,0,1,1,1,1
14803,Grid1,0,0,0,1,1
14804,Grid2,1,0,0,1,1
14805,Grik1,0,0,1,1,1
14806,Grik2,0,0,0,1,1
14807,Grik3,0,0,0,1,1
14809,Grik5,0,1,0,1,1
14810,Grin1,0,0,1,1,1
14811,Grin2a,0,0,0,1,1
14812,Grin2b,0,0,0,1,1
14813,Grin2c,1,0,0,1,0
14814,Grin2d,0,0,0,1,1
14815,Nr3c1,1,0,0,1,1
14816,Grm1,0,0,0,1,1
14823,Grm8,0,0,1,1,1
14836,Gsc,0,0,0,1,1
14842,Gsx1,0,0,0,1,1
14843,Gsx2,0,0,0,1,0
14912,Nkx6-2,0,1,0,1,1
15110,Hand1,0,0,0,1,1
15114,Hap1,0,0,1,1,1
15130,Hbb-b2,0,0,0,1,1
15165,Hcn1,0,0,1,1,1
15171,Hcrt,0,0,0,1,1
15182,Hdac2,0,0,0,1,1
15184,Hdac5,0,1,0,1,1
15185,Hdac6,0,0,0,1,1
15186,Hdc,0,0,0,1,1
15200,Hbegf,1,0,0,1,1
15205,Hes1,1,0,0,1,1
15206,Hes2,0,0,0,1,1
15207,Hes3,0,0,0,1,1
15208,Hes5,1,0,0,1,1
15209,Hesx1,0,0,0,1,1
15213,Hey1,1,0,0,1,1
15214,Hey2,1,0,0,1,1
15216,Hfe,0,0,0,1,1
15218,Foxn1,0,0,0,1,1
15221,Foxd3,0,0,0,1,1
15223,Foxj1,0,0,0,1,1
15227,Foxf1,0,0,0,1,1
15228,Foxg1,1,0,1,1,1
15229,Foxd1,0,0,0,1,0
15235,Mst1,0,0,0,1,1
15242,Hhex,0,0,0,1,1
15245,Hhip,0,1,0,1,1
15251,Hif1a,0,0,0,1,1
15273,Hivep2,0,0,1,1,1
15278,Tfb2m,0,0,0,1,1
15284,Hlx,0,0,0,1,0
15285,Mnx1,0,0,0,1,1
15289,Hmgb1,1,0,0,1,1
15312,Hmgn1,1,0,0,1,1
15331,Hmgn2,0,0,0,1,1
15353,Hmg20b,1,0,0,1,0
15354,Hmgb3,0,0,0,1,1
15364,Hmga2,0,0,0,1,1
15370,Nr4a1,1,0,0,1,1
15371,Hmx1,0,0,0,1,1
15373,Hmx3,0,0,0,1,1
15375,Foxa1,0,0,0,1,1
15376,Foxa2,0,0,0,1,0
15377,Foxa3,0,0,0,1,1
15378,Hnf4a,0,0,0,1,1
15379,Onecut1,0,0,0,1,0
15384,Hnrnpab,0,0,0,1,1
15394,Hoxa1,0,0,0,1,1
15395,Hoxa10,0,0,0,1,1
15396,Hoxa11,0,0,0,1,1
15398,Hoxa13,0,0,0,1,0
